geo,2011_hdi,2011_sanitation,2011
Afghanistan,0.463,34.7,350.0
Armenia,0.732,91.3,350.0
Australia,0.93,100.0,150.0
Austria,0.884,100.0,60.0
Azerbaijan,0.742,83.2,350.0
Bahamas,0.789,91.7,350.0
Barbados,0.785,94.6,60.0
Belgium,0.886,99.5,60.0
Belize,0.702,85.9,350.0
Bhutan,0.581,60.6,60.0
Bolivia,0.655,48.8,1600.0
Brazil,0.73,82.9,15000.0
Bulgaria,0.778,85.9,350.0
Cambodia,0.54,39.0,1400.0
Canada,0.907,98.5,350.0
Colombia,0.707,82.3,9700.0
Costa Rica,0.758,96.5,350.0
Croatia,0.815,97.4,60.0
Cuba,0.778,90.4,150.0
Dominican Republic,0.706,82.0,1700.0
Ecuador,0.717,82.2,2000.0
El Salvador,0.67,88.5,350.0
Fiji,0.714,91.3,60.0
France,0.885,98.7,1300.0
Georgia,0.749,88.0,150.0
Greece,0.858,98.3,150.0
Guatemala,0.616,65.3,2500.0
Guyana,0.63,84.1,350.0
Haiti,0.477,27.7,5800.0
Honduras,0.614,75.3,2800.0
Hungary,0.823,98.0,60.0
Iceland,0.901,98.8,60.0
Indonesia,0.669,62.0,15000.0
Iran,0.755,88.0,8300.0
Ireland,0.895,91.2,60.0
Israel,0.889,100.0,60.0
Italy,0.877,99.3,600.0
Jamaica,0.725,85.0,1600.0
Japan,0.889,100.0,150.0
Kazakhstan,0.774,97.6,1200.0
Kyrgyz Republic,0.638,95.3,350.0
Lao,0.554,61.3,350.0
Latvia,0.812,91.0,600.0
Lebanon,0.763,89.1,150.0
Lithuania,0.83,91.3,60.0
Luxembourg,0.892,97.6,60.0
Malawi,0.454,41.1,44000.0
Maldives,0.675,96.1,60.0
Malta,0.821,100.0,60.0
Mauritania,0.491,38.8,1500.0
Mauritius,0.756,92.9,600.0
Mexico,0.748,86.0,4900.0
Moldova,0.679,76.6,1000.0
Mongolia,0.712,57.2,60.0
Myanmar,0.533,65.9,16000.0
Namibia,0.619,32.4,5200.0
Netherlands,0.921,97.8,150.0
New Zealand,0.904,100.0,60.0
Nicaragua,0.625,72.1,350.0
Niger,0.331,10.9,4000.0
Nigeria,0.507,33.4,210000.0
Norway,0.941,98.1,60.0
Panama,0.765,73.5,1200.0
Papua New Guinea,0.501,18.6,1100.0
Peru,0.725,73.4,3000.0
Poland,0.834,95.1,150.0
Portugal,0.824,98.9,350.0
Romania,0.797,81.7,350.0
Rwanda,0.475,58.1,6400.0
Sao Tome and Principe,0.553,34.9,60.0
Senegal,0.463,45.7,1600.0
Serbia,0.767,95.4,150.0
Sierra Leone,0.401,13.3,2600.0
Slovak Republic,0.835,98.9,60.0
Slovenia,0.877,99.1,60.0
South Africa,0.644,69.8,270000.0
South Korea,0.889,100.0,350.0
South Sudan,0.419,7.01,11000.0
Sri Lanka,0.752,92.4,350.0
Sudan,0.468,29.6,5600.0
Suriname,0.708,79.4,350.0
Swaziland,0.534,55.6,6800.0
Sweden,0.903,99.3,60.0
Switzerland,0.932,99.9,60.0
Tanzania,0.504,18.7,84000.0
Trinidad and Tobago,0.772,92.1,600.0
Tunisia,0.717,90.1,60.0
Uganda,0.477,18.2,62000.0
Ukraine,0.739,95.7,22000.0
United Kingdom,0.898,99.1,350.0
United States,0.913,100.0,20000.0
Uruguay,0.784,95.2,600.0
Venezuela,0.767,93.8,2900.0
Yemen,0.494,54.3,1600.0
Zimbabwe,0.464,39.6,58000.0
